name,text
Mika Kaurism%C3%A4ki,mika juhani kaurismki born 21 september 1955 in orimattila finland is a finnish film directorhe is the elder brother of aki kaurismki and the father of maria kaurismki who graduated from tampere school of art and media in 2008 with her movie sidelinemika kaurismki has lived in brazil since approximately 1992 and has made several brazilianthemed films including amazon tigrero samblico rytmi and moro no brasil his film brasileirinho is a 2005 musical documentary about traditional brazilian choro musicmika kaurismkis first film the liar 1980 was an overnight sensation when first shown in finland it marked the beginning of the kaurismki brothers film career and started a new era in finnish cinemaafter high school mika kaurismki worked as a painter of houses and apartments in the small town of kuusankoski in the southeastern part of finland in the autumn of 1976 when the winter was coming and the annual high season for painting houses was over he thought of doing something else in life still wearing his painter overalls he walked into a bookstore and bought the newly published history of cinema by peter von bagh he started reading it from page one and decided to become a film directormika kaurismki studied cinema in munich germany at the hochschule fr film und fernsehen 19771981 the liar 1980 made in finland was his diplom film his younger brother aki kaurismki then a student of journalism played the main role and also cowrote the screenplay after the success of the liar mika kaurismki decided to stay in finland and together with his brother and some friends he founded the production company villealfa filmproductions which soon became a home of vital low or nobudget film making by the end of the 1980s it was the third biggest film production company of all time in finland the villealfa film family consisted of many colleagues and friends in addition to the kaurismki brothers including the actors matti pellonp and kari vnnen and the cinematographer timo salminen mikas 1984 film the clan tale of the frogs was entered into the 14th moscow international film festivalaki kaurismki who had worked as mikas assistant and a screenwriter began his career as a director when mika produced his first film crime and punishment 1984 during the active villealfa years mika cofounded the midnight sun film festival 1986 and the distribution company senso films 1987 and the andorra cinemas in helsinkithe 1990s saw the gradual fading of the villealfa spirit mika and aki started to produce their films separately through their own production companies mika had founded marianna films in 1987 and its first independent production was zombie and the ghost train 1991 over the course of the 1990s mika established his base and second home in rio de janeiro and started to concentrate more in international coproductions in 1995 in philadelphia he directed the nobudget thriller condition red with james russo cynda williams and paul calderon condition red was entered into the 19th moscow international film festival his biggest production so far is the comedy la without a map 1998 with david tennant julie delpy vincent gallo johnny depp james le gros anouk aimee joe dallesandro etcduring the production of moro no brasil 2002 kaurismki opened a live music club mikas bar in rio de janeiro but gave it up later and decided to concentrate primarily on film making in 2003 he was a member of the jury at the 25th moscow international film festivalthe road north starring vesamatti loiri and samuli edelmann premiered in finland on august 24 2012 and has been a success with more than 200000 viewers by the end of september 2012 kaurismki is the producer and cowriter of the 2012 documentary film the king jari litmanen which tells about the career of finnish footballer jari litmanen
Pascal van Assendelft,pascal van assendelft born october 6 1979 in leidschendam is a former dutch sprinter she started her career in athletics at the age of thirteen and was to become a sprinting athlete competing at european and olympic levelin 2001 she took part in the european championships for athletes younger than 23 years starting in the 100 and 200 metres and reaching the semifinal on both occasions two years later pascal van assendelft participated in the world championships in paris as a member of the dutch 4 x 100 metres relay team together with jacqueline poelman annemarie kramer and joan van den akker although the team did not reach the final it nominated itself for the 2004 summer olympics realising the twelfth time out of twenty teams in competition the 4396 was the seasons fastest time of the dutch four one year later the same relay formation participated at the athens olympic games they were however eliminated in the series due to a mistake in the changing areavan assendelft became dutch champion 60 metres indoor in 2007 having obtained this title five times before from 2001 until 2005 she also won the 100 and 200 metres at the dutch national championships in 2007on december 18 2007 pascal van assendelft announced her withdrawal from athletics the 28 year old athlete had taken her decision after being unable to improve her personal bests in the preceding season during her career in athletics she was sponsored by asics franco canadian hollandvan assendelft is a 2005 graduate from the utrecht school of the arts she is a professional interaction designer
John Darling (writer),john darling is an american author he has written and published many short stories poems and magazine articleshis first publication a short story titled stigmire details the humiliation of welfare mothers it appeared in the may 1976 issue of journal of mental health published by the arizona state hospitalhis lone play stage directions has been produced in the united states canada and most recently at the soho theatre in london england on october 3 2012many of his short fiction and nonfiction works have been collected in anthologies on borrowed time contains ten mysteries revolving around a hard boiled private eye named detective anderson woman in black is composed of mixed genres from hard edged science fiction in saving abraham to ya literature in jennifer risingyoure the who a guide to classic band name origins rock connections is a collection of short articles which tell how rock bands and singers chose their stage names while also showing rock connections between the performershe also coauthored a cookbook with his late grandmother loretta duffy their work grandmas favorite recipes is a cookbook made up of his late grandmothers favorite recipes which she hand wrote over the course of seventy yearshis final book is a short three part prose play entitled the earthling which tells of a man and his sons relationship as each one dwells in a generation that conflicts with the other
Theo Wallimann,theo wallimann phd was a research group leader and titularprofessor at the institute of cell biology of the eth zurichtheo wallimann was born on 19461013 october 13 1946 in alpnach obwalden switzerland in 1975 he completed his phd dissertation on mlinebound creatine kinase and myofibrillar structure in the laboratory of prof hans m eppenberger at the institute of cell biology eth zurich with distinction and was awarded the eth prize and medalfrom 19751981 he worked as a postdoctoral research associate with prof andrew g szentgyrgyi at the biology department of brandeis university in waltham massachusetts usa on the subject of myosinlinked calcium regulation of muscle contraction in 1981 he was appointed as senior researcher and group leader at the institute of cell biology of the eth zurich to work and teach in the areas of muscle biochemistry cellular bioenergetics and molecular structure and physiology of creatine kinases in health and diseasein 1984 he became a lecturer with habilitation on localization and function of mlinebound creatine kinase mband model and phosphocreatine shuttle and in 1994 he was awarded the title of professorin 1995 and 1996 wallimann was head and deputy head of the institute of cell biology respectivelyin 2005 wallimann was awarded the alfredvogtprize 2005wallimann resigned from his post in june 2008 and is now emeritus
John Chibuike,john chibuike born 10 october 1988 is a nigerian footballer who plays midfielder he currently plays for gaziantepspor in sper lig he can also play as a topwingerstriker in a 433 formationstarting his career in enugu rangers and made the senior team in the 20082009 season in 2009 prior to the start of allsvenskan he was bought by bk hcken mainly being used as a defender by rangers after his arrival in hcken he has been used more as a midfielderjohn chibuike had a quite soft start in bk hcken but soon spectators around the venues saw that he had something extra during his first season 2010 he played as a midfielder and showed both good defensive and offensive skills and specially a good vision and technique he made 27 out of 30 games during the season scoring 3 goals and making three assistsin the start of allsvenskan season 2011 it became apparent that chibuike had improved even more allsvenskan topscorer and club fellow mathias rangie said he was the teams most import important player and that he very soon could see chibuike playing on a european toplevelon 29 august he signed a 4year contract with norwegian side rosenborg where he played behind a main strikerin the summer of 2014 he moved from rosenborg to turkish side gaziantepspor signing a 4year contract
Oumar Sagna,multiskilled artiste having participated in numerous groups festivals training courses and other events level of achievement bfem brevet de fin detudes moyennes certificate of completion of intermediate studies1994 professional training as industrial electirician with iafp19951998 monitor with the salon national for youth employment with jeco jeuness communicationtraining in plumbing with sensec2006 hft forklift driver training course2005presentschool and community workshop teaching in african drumming and danceteam building with drumzone and drumcafeschool workshops with trapmediaperformances and workshops at music festivals including glastonbury chelsea wichwood coleford monmouth with tribal vibes 2004creation free man ground at the centre cultual francais with kakatartactor in the television series deuk keunedoyi for icom initiative communication in dakarartiste in the ballet afrique noire for the epic creationartiste in the ballet sunu meew at the cultural centre blaise senghor in dakarcreation bet et os sacre with kakatarttutor in dance and percussion2003instructor at festival of arts at ziguinchor casamancenational theatre tour with icom member of the festival kaay feec come danceactor in the television series bingo and binga for icomworkshops and performances in the uk as part of cultural exchange in areas of low ethnic minority populationsound and light festival on the island of goree2001awards assistant for the holiday group ocean de ouakamworld youth forum with zenith artartiste with the ballet africa djoungdjoungactor in the television series borom ndar for icomartiste in the contemporary dance company kakatarttraining course in dance with kaay feectraining course in modern dance with larteaartiste with the ballet ebatongay19972000theatre performances in local dakar schools with the afromandingue groupdance tour in stlouis with metissacanadocumentary on traditional instruments with juventes of norway1998ballet les ambassadeurs de la culture africainenational theatre tour with les ambassadeursworld youth forum
Julie Boulet,julie boulet born december 5 1959 in sainttite quebec is the current member of national assembly for the provincial riding of laviolette in the mauricie region member of the quebec liberal party she was minister of transports 20072010 and minister of employment and social solidarity 20102012 in the charest governmentboulet went the universit laval and obtained a bachelors degree in pharmacy in the community she would be the chair of the towns main festival the festival western de sainttite which takes place in early september of each year she is also a volunteer of the festival for 12 yearsboulet was a liberal candidate for the federal riding of champlain in the 2000 elections but lost by 15 votes to the bloc qubcois she attempted again at provincial politics and was elected in laviolette in a byelection in 2001 she was reelected in the 2003 provincial elections she was briefly the delegate minister of health social services and the status of seniors before being named delegate minister for transport after she was reelected in 2007 she was named minister for transport after incumbent minister michel desprs was defeated in jeanlesage by the action dmocratique du qubec since 2003 she is also the minister responsible for the mauricie region she was the only liberal mna to be reelected in 2007 in the mauricie region as the adq won the remaining seatsas minister of transportation she introduced legislation related to road safety including the use of handheld phones lowering the legal blood alcohol level for driving to 05 milligrams per litre and tougher penalties for offences such as drunk driving however both the parti qubcois and the action democratique du quebec which formed a majority opposition did not support the legislation regarding the blood alcohol level limit and thus will remain at 08 milligrams per litre she also announced plans to fully rebuild the turcot interchange in montreal she also announced a large plan for the rehabilitation and improvements of aging infrastructure such as bridges and overpasses across the province in light of the laval autoroute 19 overpass collapse in 2006 as well as the johnson commission which was in charge of the investigation of the structural failure finally in october 2007 the government announced its funding for the city of gatineaus rapibus rapid transit system for the socit de transport de loutaouais slated for completion for 2010
Shea Taylor,shea taylor is a songwriterproducermultiinstrumentalist based in new york city hes established a successful songwriting partnership with def jams rb singersongwriter phenom neyo and has also worked with rihanna beyonc janet jackson chris brown and wyclef jean he has won an ascap award and has been nominated to the grammy awardstaylor has songwriting credits on seven tracks off the beyonce record entitled 4 the album is certified platinum and debuted at number one on the billboard 200 with firstweek sales totaling over 300000 love on top made it to the top of the us hot rbhiphop songs chart and adult rb airplay chart in march 2012 run the world girls also reached number one on the us hot dance club songs and is certified gold in the us and new zealand and platinum in australia and canada best thing i never had climbed to the top of nielsens urban airplay chart in september and peaked at number four on the hot rbhiphop songs charttaylor cowrote the lead single thinkin bout you and pilot jones on frank oceans debut channel orange the album debuted at number one on the us billboard rbhiphop albums chart and number two on the uk rb albums chart it also debuted at number two on the billboard 200
Jane Wrightson,jane wrightson was born in hastings new zealand in 1958 she became new zealands eighth chief censor and first woman chief censor in 1991 a position she held until the films videos and publications act was passed in 1993 before her appointment as chief censor wrightson obtained a ba in english at victoria university of wellington a diploma in business administration at massey university and a master of business administration with distinction massey she worked for a decade prior for tvnz including in the programming department and as head of commissioned programmes for television new zealandwrightson wrote in 1992 that her strong will has been a blessing and a curse to me the strength is needed as a film censor there are so many individuals and groups pulling in so many different directions that after absorbing all the approaches one simply has to go with instincts consultation and a healthy dollop of common sensein 1992 wrightson banned henry portrait of a serial killer calling it a stalk and slash movie too violent for new zealand screens this was the first mainstream film to be banned from exhibition at the wellington film festival whose director called her too conservative the film was later passed with cuts on video by the video recordings authority earlier that year she passed as r18 the australian tantric sex film sacred sex which was appealed unsuccessfully to the film and video board of review by the society for the promotion of community standards who viewed her classification as too liberalhaving unsuccessfully applied to continue as chief censor after parliament passed the films videos and publications act 1993 wrightson became television programme manager and soon deputy chief executive of new zealand on air in 1994 she then became chief executive of the screen production and development association spada in 1999 chief executive of the broadcasting standards authority in 2003 and is currently chief executive of funding body new zealand on air since 2007 she is also a chartered member of the new zealand institute of directors retired from the board of netball new zealand in 2007 after an 8 year stint and served on the swimming nz board for five years until 2012 she is a trustee of the digital media trust that set up nz screen history and culture site nz on screen
Asmahan Farhat,asmahan farhat or mercedes farhat born may 1 1990 in strongsville ohio united states is a libyan swimmerraised in strongsville ohio she began training with the lake erie silver dolphins before moving down to marco island fl at age 11 and began swimming with her father for the marco island swim team she attended lely high school where she broke numerous school and conference records while taking home district and regional titles she now attends the university of florida where she is a member of the florida ciceronesfarhat represented libya at the 2008 summer olympics in beijing she was the second woman ever to swim for libya at the olympic games following admira edrahi at the 2004 summer olympics she won her heat in the womens 100 metre breaststroke event with a time of 12168 but finished 47th overall and did not advance her time was a new personal bestshe was a student at lely high school in naples floridashe began studying at the university of florida a few days after competing in beijing and became a sister of alpha omicron pi sororityin fall of 2012 she began the doctor of pharmacy program at university of colorado denver skaggs school of pharmacy and pharmaceutical sciences
Adam Lambert,adam mitchel lambert born january 29 1982 is an american singer songwriter and stage actor born in indianapolis indiana and raised in san diego california he performed in amateur theatrical productions as a child a path he pursued into adulthood appearing in professional productions in the us and abroad in 2009 lambert came to prominence when he became the runnerup on the eighth season of american idol after signing with 19 entertainment in a joint venture with rca records he released his debut studio album for your entertainment in 2009 it debuted at number three on the us billboard 200 with 198000 copies in firstweek sales and reached the top 10 in several countries its singles for your entertainment whataya want from me and if i had you also became international successes soon after the album release he headlined a worldwide concert tour glam nation the first american idol contestant to do so in the year following his idol season the tour was followed by two live releases an extended play entitled acoustic live 2010 and a live cddvd glam nation live 2011 which debuted at number one on the soundscan music video chart lambert took executive producer credit and was a principal writer on his second studio album trespassing released in may 2012 to critical acclaim trespassing made its debut in the number one spot on the billboard 200 album chart also topping the billboard digital albums chart and canadas digital albums chart lambert made music history as the first openly gay artist to achieve this top charting positionciting influence from various artists and genres lambert has a flamboyant theatrical and androgynous performance style and a powerful technically skilled tenor voice with multioctave range his showmanship and commanding presence in live shows have also become part of his signature he has received numerous awards and nominations including a grammy award nomination for best male pop vocal performance in 2011 and an honorary glaad media award in 2013 by april 2012 his first album had sold nearly two million copies worldwide and 42 million singles worldwide as of january 2011 the times identified lambert as the first openly gay mainstream pop artist to launch a career on a major label in the us
Simon Poelman,simon poelman born 27 may 1963 is a former new zealand decathlete who has been described as new zealands best ever allround athlete his personal best of 8359 points which is adjusted from 8366 points as it was hand timed is still a new zealand national record this was set at the national athletics championships in christchurch 1987 as well as being the national decathlon champion seven times he was also the new zealand senior mens national champion in several individual events including the 100m once 110m hurdles seven times long jump twice pole vault three times and shot put oncehe won the bronze medal at the 1986 commonwealth games in edinburgh and at the 1990 commonwealth games he won both the silver medal for decathlon and bronze in the pole vault at the time of the seoul olympics he was ranked fourth in the world at decathlon but had a bad start when a series of false starts led to a slow 100m time in his heat and he finished in 16th place on 8021 pointsin 1998 poelman was convicted of importing ecstasy tablets with a value of nz200000 and sentenced to 3 years in prison he initially denied the charges but later confessedpoelman returned to competitive athletics in 2004 setting a world agegroup record breaking a 23 year world record for the decathlonhe was awarded the new zealand 1990 commemoration medal
Toralv Maurstad,toralv maurstad born 24 november 1926 in brum norway is a prominent actor of norwegian stage screen and television by many regarded as the leading norwegian actor of his generation he is the son of the highly regarded actor alfred maurstad and actress tordis maurstad and halfbrother of actress mari maurstadmaurstad graduated from the royal academy of dramatic art rada in london in 1949 through the years he has not only worked as a leading actor but is also a respected stage director and was the head of oslo nye teater oslo new theatre from 1967 to 1978 and most notably the head of norways national theatre nationaltheatret from 1978 to 1986 he is considered perhaps the greatest interpreter of henrik ibsens peer gynt having played the part numerous times he even performed excerpts from the play as late as the 2002 winter olympic games in salt lake cityhis only american film appearance so far was starring in the 1970 box office and critical disaster song of norway a film musical about the life of composer edvard grieg his costar was florence henderson it was based on a successful but now semiforgotten 1944 broadway showa testament to his position in norwegian theatre came when in the 1970s he costarred with liv ullmann in a critically acclaimed broadwaystaging of ibsens a dolls house in new yorkin 1974 the king of norway made him a knight first class of the royal norwegian order of st olav and in march 2007 maurstad was appointed a commander of the order of st olav
John Kingman,sir john frank charles kingman frs born 28 august 1939 is a british mathematicianhe was n m rothschild and sons professor of mathematical sciences and director of the isaac newton institute at the university of cambridge from 2001 until 2006 when he was succeeded by sir david wallace he is famous for developing the mathematics of the coalescent a theoretical model of inheritance which is fundamental to modern population geneticsthe grandson of a coal miner and son of a government scientist with a phd in chemistry kingman was born in beckenham kent and grew up in the outskirts of london where he attended christs college finchley which was then a state grammar school he was awarded a scholarship to read mathematics at pembroke college cambridge in 1956 on graduating in 1960 he began work on his phd under the supervision of peter whittle studying queueing theory markov chains and regenerative phenomena a year later whittle left cambridge for the university of manchester and rather than follow him there kingman moved instead to oxford where he resumed his work under david kendall after another year kendall was appointed to a professorship at cambridge and so kingman returned to the university he returned however as a member of the teaching staff and a fellow of pembroke college and never completed his phdhe married valerie cromwell with whom he has two children in 1964 in 1965 he took up the post of reader at the university of sussex where she was teaching and was elected professor of mathematics and statistics the next year he held this post until 1969 when he moved to oxford as professor of mathematics a position he held until 1985 he has said of this appointmentstatistics in oxford in 1969 was frankly a mess there was no professor of statistics the only chair having been abolished some years beforemaurice bartlett and i conspired to persuade oxford to take statistics seriouslythe london mathematical society awarded kingman its berwick prize in 1967 in 1971 kingman was elected a fellow of the royal society later receiving its royal medal in 1983 in recognition of his distinguished researches on queuing theory on regenerative phenomena and on mathematical genetics he was also awarded the guy medal in silver by the royal statistical society in 1981 during his time at oxford as well as holding a fellowship at st annes college from 1978 to 1985 kingman also chaired the science and engineering research council now the epsrc from 1981 to 1985 was vicepresident of the institute of statisticians from 1978 until 1992 and held visiting appointments at the university of western australia 1974 and the australian national university 1978in 1985 kingman was knighted by queen elizabeth ii for his work with the science and engineering research council from october that year sir john was elected vicechancellor of the university of bristol he remained in bristol until 2001 when he took up his post at the isaac newton institute in cambridge shortly after making that move kingman drew some media attention for having the thirdhighest salary among british vicechancellors and this having nearly doubled in his final year in the job at a time when most academics received payrises of about 3 whilst at bristol he also served in a number of other capacities in the academic field he was president of the royal statistical society from 1987 to 1989 and president of the london mathematical society from 1990 to 1992 in public service he was a member of the board of the british council between 1986 and 1991 and was on the board of the british technology group from 1986 until after it was privatised in 1992 he also held directorships at a number of industrial companies including ibm from 1985 to 1995 and smithkline beecham from 1986 to 1989 in 198788 kingman chaired the committee of inquiry into the teaching of the english language in 2000 the chancellor of the exchequer appointed sir john the first chairman of the statistics commission the body that oversees the work of the office for national statistics the uk governments statistics agency in 2002 kingman attracted some media attention by telling the house of commons treasury select committee that the 2011 uk census could be conducted using new technology rather than the traditional headcount or even not conducted at allkingman holds honorary degrees from the universities of sussex southampton bristol the west of england and queens ontario
L. Timmel Duchamp,l timmel duchamp is an american author of science fiction she is also an editor for aqueduct pressduchamp is often grouped together with kelly link and other contemporary women authors who use genres like fantasy horror and science fiction to explore themes of feminism and gender politics until recently duchamps output focused primarily on short stories and critical essays with publications in anthologies like the thackery t lambshead pocket guide to eccentric discredited diseases and magazines like asimovs science fictionher career has received increased critical and popular interest when her first novel alanya to alanya was released in june 2005 first in a series of five books dubbed the marqssan cycle alanya to alanya is set on a nearfuture earth controlled by a maledominated ruling class patterned loosely after the corporate world of today the marqssan an advanced race of aliens bring business as usual to a screeching halt all over the world by disabling technology and aiding groups willing to fight for independence from the power structure the main character is kay zeldin a history professor who has a history of working for the government but as she works for the government she becomes more and more convinced to follow the marqssans
Peter Tunks,peter tunks born 30 august 1958 in sydney new south wales is an australian former rugby league player for the south sydney rabbitohs canterburybankstown bulldogs penrith panthers new south wales and the australian national side after that he played with a number of clubs in englandtunks finished in the top 8 at the rothmans medal 6 times in his career tunks was also voted the best prop in world rugby league twice in the 80stunks is a product of marcellin college randwick regarded as one of the best rugby league players to come out of this school tunks also represented nsw at rugby union as a schoolboy in 1976graded with souths in 1977 tunks made his debut that year as a prop forward at 18 years of age tunks narrowly missed selection for the 1978 kangaroo tour when he was voted one of the top rookies of the year in the off season tunks contracted glandular fever hepatitis and a kidney disease and missed part of the 1979 seasontunks made his state of origin debut in 1981 the same year he led south sydney to victory in the panasonic cup scoring the winning try in 1982 tunks was told he would be touring with the kangaroos but was not taken due to off field indiscretionsin 1984 tunks left souths and went to the bulldogs where warren ryan built a team around tunks and peter kelly to win premiershipswhich they didtunks played 10 origin games but was selected in 16 but missed some games due to injury tunks played origin in 1985 when nsw won it for the first time and then played all 3 games in 1986 when nsw won the series 3 nil for the first time in origin historytunks played in 4 grand finals in 5 years for the bulldogs winning 3 he toured nz in 1985 with the kangaroos and was voted player of the tour ahead of wally lewis mal meninga peter sterling and others in 1986 tunks refused to tour with the kangaroos and he also refused to make himself available for the 1988 world cup final against new zealand the week after he captained the bulldogs to the premiershipin 1990 tunks followed phil gould to penrith but caught glandular fever and retired halfway through the season he went to england where he had a successful coaching stint for 3 years with oldham was then appointed chief executive at wakefield trinity and then managing director at hull fc
Krishna Bhatt,krishna mohan bhatt hindi born 1949 is a sitar player teacher and scholar from jaipur indiahe comes from a family of musicians in jaipur his father the late shashi mohan bhatt a sitarist of great repute and a professor at the university of rajasthan jaipur trained many musicians in the family including krishna bhatt manju mehta in ahmedabad and vishwa mohan bhatt krishna bhatts forefathers migrated from the south of india andhra pradesh to the state of rajasthan in the northwest a princely state then to seek employment in the gunijankhn department of learned scholars of the maharaja of jaipur they were sanskrit scholars poets and musiciansin his teens krishnas musical grooming was further enhanced by many years of study under the tutelage of his guru pt ravi shankar and musicians pt nikhil banerjee and ustad ali akbar khan who had a strong impact on krishnas musical growth while developing his own individual style krishnas music was greatly influenced by twentieth century stalwarts such as the vocalists amir khan bade gulam ali khan abdul karim khan begum akhtar shobha gurtu as well as folk singers of rajasthan krishnas repertoire in performance includes a wide variety of rare and old traditional compositions from these masters of musickrishna bhatt has received numerous awards and honors including the sangeet kalaratna jewel of music in 2009 he was also presented the gunijan award by the president of india mrs pratibha patil in 2005 and was conferred the kalashiroman samman by the maharaja of jodhpur shri gajsinghji and shri john singhji of jaipur virasat foundation in 2007 in rajasthan india krishna bhatt has been twice the recipient of the aiis fellowship awards in 1998 and 2004 in the category of performing artsin addition to performing hindustani classical music bhatt has also performed and recorded with the american composer terry riley working on the score for the alain tanner film no mans land zakir hussain the kronos quartet jody stecher jazz saxophonist george brooks and rajasthani folk musicianshe divides his time between jaipur rajasthan and new york city where he continues to perform and teach
Victor Crist,victor crist is a republican member of the florida senate representing the 12th district since 2001 he won his first term by beating democrat kathy castor in the general election previously he was a member of the florida house of representatives from 1992 through 2000crist serves as chair of the senates criminal and civil justice appropriations committee and as vice chair of the senates health policy committee crist known as an expert on criminal justice issues has served as an advisor on the topic to floridas attorney generalin the mid1990s crist founded the university area community development corporation in one of tampas more vulnerable communities crist now serves as ceo and volunteer chairman of the organization the university area community development corporation is a 501c3 charitable organization whose mission is to obtain the necessary resources support and direction to improve and sustain a thriving community where great social financial educational and healthrelated challenges exist in the pursuit of this mission the uacdc works to further strengthen hillsborough countys most socially and economically vulnerable neighborhoods through activities programs and services these range from operating a fully programmed stateoftheart community center complex to increasing economic development and affordable housing in the area we serve through innovative partnerships between public and private sectors as well as a wide range of service providers senator crist is of no relation to florida governor charlie cristsenator victor crist is a descendant of zachary taylor
Fabio Calzavara,fabio calzavara is an entrepreneur and venetian politician born in istrana on 21 september 1950 he is the cofounder of liga veneta 1980 a federalist party settled in padua veneto regionhe was a member of the board of european federalist union uef founded in zurich switzerland from 1982 till 1986 he was a member of the national council of the free autonomist entrepreneurs association alia from 1993 1994 and later on the free european federalist entrepreneurs association life from 1995 1997he was a member of the italian parliament and a foreign affairs committee member of camera dei deputati from 1996 2001 he was a member of the first interparliamentarian commission between italy and the russian federation from 1997 2001as an independent consultant he was accredited at the european parliament in bruxellesbrussels from 2003 2004he was also elected in the following local public administrationsmember of province council of treviso veneto region 1985 1990member of common house council of montebelluna veneto region 1987 1991member of common house council of melbelluno veneto region 1994 1998in december 2000 he participated in the first public humanitarian aid to iraq under the embargo organized by abbe pierre and jeanmarie benjamin on a special flight from paris to baghdad with 180 participants as parliamentarians diplomats journalists religious workers and ong volunteers from france italy switzerland the netherlands and great britainfrom 2005 he is working and living in moscow russian federation
Lauro Cavazos,lauro fred cavazos jr born january 4 1927 is a us educator and politician he served as secretary of education and was the first hispanic to serve in the united states cabineta sixthgeneration texan he was born on the king ranch near kingsville texas where his father served as foreman of the showcase santa gertrudis cattle division he was the son of lauro f cavazos sr and the former tomasa quintanilla through his maternal ancestry he is a descendant of texas revolution heroine francita alavez the angel of goliadhe earned ba and ma degrees in zoology from texas tech university and a phd in physiology from iowa state university in ames iowa while in college he was a member of kappa kappa psi following a stint on the faculties of tufts university and the medical college of virginia from 197580 he served as dean of the tufts university school of medicine from april 15 1980 to 1988 he served as president of texas tech university he was both the first alumnus and the first hispanic to serve as texas tech presidenta democrat cavazos served as secretary of education from august 1988 to december 1990 during the republican reagan and george h w bush administrations he was forced to resign amid an investigation into improper use of frequent flyer miles in december 1990following his resignation he returned to the faculty of tufts university where he is currently professor of public health and family medicine he is married to the former peggy ann murdock the couple has ten children and currently reside in boston massachusetts he is the brother of us army general richard e cavazos
Samuel Beniquez,samuel benquez mndez born 1971 in san juan puerto rico is a puerto rican best known for being nominated for an emmy award in year 2012 and as a plaintiff in an adoption law case that rose to the puerto rico supreme court he is the plaintiff in a widely reported court case to enforce his legitimacy rights against his alleged biological father the world leader of the pentecostal congregacin mita tefilo vargas senhis story is the subject of the book tu alto precio mi gran valor la vida de samuel beniquez el hijo de aarn by miguel amadeus and samuel ortiz ramos 2005 he has since built a successful career as a public relations agent and cofounder of advertising values for all as san juan pr and advertising agency on march 11 2013 at 750am aarn did the dna test the results of the dna test showed a positive result of 9999999 percent chance that teofilo vargas sein is his biological father the results were presented by judge arlene sells on march 25 2013 in the court of first instance superior chamber san juan puerto ricobeniquez was adopted by his maternal uncle and aunt flix benquez and ada mndez in 2004 this decision was appealed to the court of first instance of puerto rico for fraud and vitiated consent as were claimed beniquez natural mother always lived with him so the adoption in the light of the law never existed later on antonia married and left her aunt and uncles home with benquezbeniquez is an active member of the public relations society of america public relations society of puerto rico puerto rico manufacturers association licensed by the regulatory board of public relations professionals of puerto rico voting member of the latin academy of recording arts sciences and voting member of the national academy of recording arts sciences florida chapter member since 2002
Anna Zatonskih,anna zatonskih ukrainian born mariupol june 17 1978 is a chess player from the united states she is a woman grandmaster as well as an international master she is a chess professional who coaches players and competes in tournaments zatonskih is the 2006 2008 2009 and 2011 us womens chess championzatonskih learned chess at age five from her parents who are both strong players her father vitaly is rated about 2300 while her mother is a candidate master anna beat her mother for the first time at age 14anna won many ukrainian girls titles in several age categories she was awarded the wgm title in 1999 she twice won the ukrainian womens chess championship in 2001 and 2002 she represented ukraine in two chess olympiads at istanbul 2000 she scored 711 5 4 2 on board two and at bled 2002 she scored 357 2 3 2 on board threeshe represented the us in the chess olympiads of 2004 2006 and 2008 the americans won the team silver in 2004 their highest finish ever zatonskih won the united states womens championship in 2006 2008 2009 and 2011 in 2008 she beat the defending us womens chess champion irina krush by a single second under time control a moment that has been widelyviewed on the internet because of krushs reaction of smacking her king across the room in angershe is married to latvianborn grandmaster daniel fridman
Tamara Danilova,tamara danilova born july 30 1939 in leningrad ussr now known as st petersburg russia is a former soviet now russian athlete specializing in throwing events she competed for the soviet union at the 1972 summer olympics in the discus throw finishing fourth in the competition the winner of that competition was the world record holder faina melnyk but during the first round of the competition it was danilova who had set the new olympic record at 6264m surpassing the record of argentina menis set in qualifying two days earlier her record was brief as menis would improve the record two throws later and again in the fourth round only to have melnyk pass them all on the next throw to take the goldmelnyk would later go on to set the masters world record in the w35 division eight years later just after the moscow olympics danilova had to wait another sixteen years after the fall of the soviet union before she set her first masters world record in the w55 division in 1996 that record of 4336m still stands later danilova set the w65 3762m and w70 3380 world records that also still stand when she surpassed the w70 mark in 2009 it had previously been held by rosemary chrimes also a 1972 olympic finalist
Chung An-chi,chung anchi chinese pinyin zhng anq wadegiles chung anchi born july 23 1989 in taiwan better known in japan as anchii is the subleader of the latest hello project group ice creamusume she was announced as a winner of the taiwan hello project new star auditions on september 20 2008 along with the other members of ice creamusumehello project producer tsunku announced his plans to start a taiwanese audition in 2007 to find new talent to help the companys expansion into asia the winners would become a part of a new hello project group there were six winners including chung anchi and the group are set to debut in 2009 with their minialbum and at a hello project concertas she is the second oldest member she is automatically the subleader of the groupshe is a leoafter making it past the auditions and onto the live shows chung anchi was eliminated early but was brought back for a special episode in which tsunku allowed his favourite losers from the auditions and live shows to reaudition for the judges however she was eliminated during this episode once again and instead was sent to a last camp of sorts where she along with qiu cui ling was eventually chosen to join the group as one of tsunkus picks
